# Sucrose data was taken from Hung et al, JPET297:780-789, 2001.
Time,Atenolol-alcohol,Atenolol-ccl4,Atenolol,Diltiazem-alcohol,Diltiazem-ccl4,Diltiazem-normal,Sucrose-with-Atenolol,Sucrose-with-Diltiazem
0.5,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1.5,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
2.5,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000046280900,0.00000000000000,0.00000000000000
3.5,0.00000000000000,0.00000263211000,0.00000000000000,0.00226765600000,0.00043386700000,0.00000044957000,0.00735275400000,0.00000000000000
4.5,0.00000494214000,0.00013945000000,0.00000004170850,0.00233006900000,0.00236023800000,0.00001254650000,0.00990916600000,0.00000000000000
5.5,0.00006890400000,0.00247654600000,0.00000085140600,0.00455611700000,0.00723690600000,0.00027040000000,0.07071604800000,0.00693404200000
6.5,0.00051678500000,0.01296396500000,0.00002769550000,0.00522185100000,0.00895502100000,0.00150267800000,0.27182417600000,0.04257870400000
7.5,0.00257573300000,0.03625736200000,0.00028443900000,0.00505541700000,0.00839099300000,0.00353170600000,0.33125942500000,0.11439910400000
8.5,0.00891862900000,0.07849336900000,0.00146081700000,0.00486817900000,0.00754929100000,0.00500500000000,0.43990339500000,0.19625798900000
9.5,0.02274274300000,0.13335008000000,0.00479427800000,0.00380716600000,0.00714145500000,0.00552161200000,0.44199286300000,0.24067678400000
10.5,0.04559470200000,0.17074576100000,0.01257009400000,0.00380716600000,0.00695922900000,0.00551191600000,0.43915805300000,0.27939584300000
11.5,0.07591497700000,0.17512398900000,0.03124068800000,0.00380716600000,0.00589191800000,0.00513606200000,0.37363082400000,0.25824941100000
12.5,0.10947936700000,0.15962128200000,0.07260365900000,0.00380716600000,0.00537995400000,0.00448004000000,0.32803100800000,0.25256429300000
13.5,0.14112144800000,0.14122578100000,0.14195184400000,0.00380716600000,0.00464238000000,0.00379855100000,0.26746155500000,0.22360924800000
14.5,0.16648596100000,0.12662393600000,0.22261589900000,0.00380716600000,0.00508492500000,0.00328717800000,0.21570220500000,0.20780931200000
15.5,0.18301423800000,0.11561194200000,0.28252311300000,0.00380716600000,0.00496344200000,0.00297043400000,0.19299441800000,0.18997683000000
16.5,0.19009222600000,0.10655618400000,0.29923168600000,0.00380716600000,0.00414777100000,0.00278456900000,0.15726409300000,0.17414197700000
17.5,0.18861404000000,0.09842037700000,0.27450214400000,0.00380716600000,0.00391348300000,0.00266574700000,0.12197343700000,0.15251643900000
18.5,0.18036107600000,0.09078605900000,0.22693013400000,0.00380716600000,0.00382670900000,0.00257675200000,0.09774146800000,0.12996354700000
19.5,0.16742324400000,0.08353814400000,0.17635754000000,0.00380716600000,0.00288829300000,0.00250161800000,0.08402383800000,0.12009965100000
22,0.12676212500000,0.06710391200000,0.09365601900000,0.00380716600000,0.00249654900000,0.00234344400000,0.04580625100000,0.07405352100000
26,0.07115991800000,0.04607230000000,0.05326987900000,0.00380716600000,0.00257506600000,0.00214756600000,0.02401129700000,0.06497730700000
30,0.04032789900000,0.03105338900000,0.03505296200000,0.00380716600000,0.00264077800000,0.00200556500000,0.01447679000000,0.04281906900000
34,0.02541930300000,0.02080542100000,0.02230870800000,0.00380716600000,0.00251971600000,0.00190373900000,0.00999636700000,0.02938867600000
38,0.01775029200000,0.01400704100000,0.01393304200000,0.00380716600000,0.00251643000000,0.00183112100000,0.00620266400000,0.02250498100000
45,0.01069610400000,0.00728763000000,0.00617518800000,0.00380716600000,0.00268627000000,0.00174979600000,0.00378658500000,0.01200363100000
55,0.00555918700000,0.00329321000000,0.00218353300000,0.00380716600000,0.00260362500000,0.00168795600000,0.00338879100000,0.00657268200000
65,0.00293701800000,0.00175914900000,0.00093692900000,0.00380716600000,0.00261685100000,0.00164994100000,0.00192741900000,0.00280073900000
75,0.00156827900000,0.00104750000000,0.00046703100000,0.00380716600000,0.00256520800000,0.00161832800000,0.00135794500000,0.00172478100000
85,0.00084528200000,0.00065669600000,0.00025268200000,0.00380716600000,0.00265611000000,0.00158562600000,0.00057073000000,0.00092654200000
105,0.00025066700000,0.00027100600000,0.00008129320000,0.00380716600000,0.00231685100000,0.00151022400000,0.00029412000000,0.00030840800000
135,0.00004172030000,0.00007354090000,0.00001611040000,0.00380716600000,0.00216933600000,0.00137543200000,0.00010131100000,0.00000000000000
165,0.00000707767000,0.00002008660000,0.00000348662000,0.00380716600000,0.00176150100000,0.00122675400000,0.00000000000000,0.00000000000000
195,0.00000121469000,0.00000553082000,0.00000086494600,0.00380716600000,0.00137102100000,0.00107544900000,0.00000000000000,0.00000000000000
225,0.00000021026500,0.00000154365000,0.00000025612700,0.00380716600000,0.00149250300000,0.00092920900000,0.00000000000000,0.00000000000000
